"GpsTime","Y","X","Z","Pitch","Azimuth"
407110.000000,3289432.172079,276049.636158,538.647398,1.253495,-90.164593
407110.010000,3289432.187081,276048.962743,538.634903,1.251802,-90.168036
407110.020000,3289432.202090,276048.289326,538.622445,1.250182,-90.171356
407110.030000,3289432.217105,276047.615906,538.610023,1.248633,-90.174552
407110.040000,3289432.232126,276046.942483,538.597636,1.247155,-90.177626
407110.050000,3289432.247152,276046.269057,538.585283,1.245747,-90.180581
407110.060000,3289432.262183,276045.595627,538.572963,1.244409,-90.183418
407110.070000,3289432.277219,276044.922193,538.560677,1.243139,-90.186137
407110.080000,3289432.292259,276044.248755,538.548423,1.241938,-90.188742
407110.090000,3289432.307304,276043.575313,538.536200,1.240803,-90.191232
407110.100000,3289432.322354,276042.901866,538.524008,1.239736,-90.193611
407110.110000,3289432.337407,276042.228415,538.511846,1.238734,-90.195879
407110.120000,3289432.352464,276041.554958,538.499712,1.237796,-90.198038
407110.130000,3289432.367524,276040.881496,538.487608,1.236924,-90.200089
407110.140000,3289432.382587,276040.208028,538.475531,1.236114,-90.202035
407110.150000,3289432.397654,276039.534555,538.463480,1.235367,-90.203876
407110.160000,3289432.412723,276038.861075,538.451456,1.234683,-90.205614
407110.170000,3289432.427795,276038.187589,538.439458,1.234059,-90.207251
407110.180000,3289432.442868,276037.514097,538.427484,1.233496,-90.208788
407110.190000,3289432.457944,276036.840597,538.415533,1.232993,-90.210227
407110.200000,3289432.473022,276036.167091,538.403607,1.232549,-90.211569
407110.210000,3289432.488101,276035.493577,538.391702,1.232163,-90.212816
407110.220000,3289432.503181,276034.820056,538.379819,1.231834,-90.213970
407110.230000,3289432.518262,276034.146526,538.367957,1.231562,-90.215031
407110.240000,3289432.533344,276033.472989,538.356115,1.231346,-90.216002
407110.250000,3289432.548426,276032.799443,538.344293,1.231186,-90.216884
407110.260000,3289432.563509,276032.125889,538.332489,1.231080,-90.217679
407110.270000,3289432.578592,276031.452325,538.320704,1.231027,-90.218388
407110.280000,3289432.593674,276030.778753,538.308935,1.231028,-90.219013
407110.290000,3289432.608756,276030.105171,538.297183,1.231081,-90.219555
407110.300000,3289432.623838,276029.431580,538.285446,1.231185,-90.220016
407110.310000,3289432.638918,276028.757979,538.273725,1.231340,-90.220397
407110.320000,3289432.653997,276028.084368,538.262018,1.231545,-90.220700
407110.330000,3289432.669075,276027.410746,538.250324,1.231800,-90.220926
407110.340000,3289432.684151,276026.737114,538.238642,1.232103,-90.221078
407110.350000,3289432.699224,276026.063470,538.226973,1.232453,-90.221156
407110.360000,3289432.714296,276025.389816,538.215315,1.232851,-90.221162
407110.370000,3289432.729366,276024.716150,538.203667,1.233295,-90.221098
407110.380000,3289432.744432,276024.042473,538.192029,1.233784,-90.220965
407110.390000,3289432.759496,276023.368784,538.180400,1.234318,-90.220765
407110.400000,3289432.774556,276022.695082,538.168780,1.234897,-90.220499
407110.410000,3289432.789614,276022.021369,538.157166,1.235518,-90.220169
407110.420000,3289432.804667,276021.347642,538.145560,1.236182,-90.219777
407110.430000,3289432.819717,276020.673903,538.133959,1.236888,-90.219323
407110.440000,3289432.834762,276020.000151,538.122364,1.237634,-90.218810
407110.450000,3289432.849803,276019.326385,538.110773,1.238421,-90.218239
407110.460000,3289432.864839,276018.652605,538.099185,1.239248,-90.217611
407110.470000,3289432.879871,276017.978812,538.087601,1.240113,-90.216929
407110.480000,3289432.894897,276017.305004,538.076019,1.241016,-90.216193
407110.490000,3289432.909918,276016.631183,538.064438,1.241957,-90.215406
407110.500000,3289432.924933,276015.957346,538.052858,1.242934,-90.214568
407110.510000,3289432.939943,276015.283495,538.041278,1.243946,-90.213682
407110.520000,3289432.954946,276014.609628,538.029698,1.244994,-90.212749
407110.530000,3289432.969943,276013.935746,538.018116,1.246076,-90.211770
407110.540000,3289432.984933,276013.261848,538.006531,1.247192,-90.210747
407110.550000,3289432.999917,276012.587935,537.994944,1.248340,-90.209682
407110.560000,3289433.014893,276011.914005,537.983352,1.249521,-90.208575
407110.570000,3289433.029862,276011.240059,537.971757,1.250732,-90.207430
407110.580000,3289433.044824,276010.566096,537.960156,1.251975,-90.206246
407110.590000,3289433.059778,276009.892116,537.948549,1.253247,-90.205027
407110.600000,3289433.074723,276009.218119,537.936935,1.254548,-90.203772
407110.610000,3289433.089661,276008.544105,537.925314,1.255877,-90.202485
407110.620000,3289433.104589,276007.870073,537.913684,1.257234,-90.201165
407110.630000,3289433.119509,276007.196023,537.902046,1.258617,-90.199816
407110.640000,3289433.134420,276006.521955,537.890397,1.260027,-90.198438
